rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,sample,label
5.0,no,hergul,1 (mono),2019-07-03,Not specified,21,XC485307.mp3,Not specified,European Herring Gull,Not specified,XC485307 European Herring Gull (Larus argentatus),[],yes,Larus argentatus," Great Britain (near  Aberdeen), Aberdeen City, Scotland",57.1428,48000 (Hz),"call, flight call",10 m,Calls from birds over city shopping centre.,96000 (bps),mp3,Not specified,,485307,https://www.xeno-canto.org/485307,United Kingdom,Andrew Harrop,Larus argentatus_Herring Gull,-2.0962,Not specified,08:30,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,hergul/XC485307.npy,45
3.0,,caster1,2 (stereo),2017-09-22,Not specified,15,XC424667.mp3,Not specified,Caspian Tern,Not specified,XC424667 Caspian Tern (Hydroprogne caspia),[],,Hydroprogne caspia," Maarn, Utrechtse Heuvelrug, Utrecht",52.0612,48000 (Hz),flight call,10 m,recorder runs all night to record passing migrants,177860 (bps),mp3,Not specified,,424667,https://www.xeno-canto.org/424667,Netherlands,Aat Schaftenaar,Hydroprogne caspia_Caspian Tern,5.371,Not specified,01:00,Aat Schaftenaar,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,caster1/XC424667.npy,29
3.0,,comgra,1 (mono),2007-03-06,level,21,XC16907.mp3,level,Common Grackle,1-3,XC16907 Common Grackle (Quiscalus quiscula),[],,Quiscalus quiscula," Michigan, Pte. Mouillee SGA",42.0226,44100 (Hz),call,175 m,,97499 (bps),mp3,level,,16907,https://www.xeno-canto.org/16907,United States,Allen T. Chartier,Quiscalus quiscula_Common Grackle,-83.2048,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,comgra/XC16907.npy,32
0.0,no,westan,2 (stereo),2016-06-16,Not specified,22,XC355401.mp3,Not specified,Western Tanager,Not specified,XC355401 Western Tanager (Piranga ludoviciana),[],yes,Piranga ludoviciana," Bowman Lake GNP, Flathead County, Montana",48.829,44100 (Hz),song,1200 m,Recording amplified.,320379 (bps),mp3,Not specified,Audubon's Warbler (Setophaga auduboni),355401,https://www.xeno-canto.org/355401,United States,Thomas Magarian,Piranga ludoviciana_Western Tanager,-114.2018,Not specified,19:47,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,westan/XC355401.npy,91
2.5,no,olsfly,2 (stereo),2018-07-02,Not specified,30,XC424299.mp3,Not specified,Olive-sided Flycatcher,Not specified,XC424299 Olive-sided Flycatcher (Contopus cooperi),['Chaetura pelagica_Chimney Swift'],yes,Contopus cooperi," Lynx Pond, Katahdin Woods & Waters National Monument, Penobscot County, Maine",45.8697,48000 (Hz),call,280 m,"""Pip-Pip"" calls recorded in boreal habitat while the bird was perched atop a snag.  This area has a lot of spruce, some bogs, a pond, and forest recovering from being cut.  Recorded in windy conditions at a range of at about 50 meters.  Insects are also audible.

Equipment: Sony PCM-M10 and a Sennheiser ME67.
Edits to the file: trimmed and normalized to -3 dB.",164802 (bps),mp3,Not specified,Chimney Swift (Chaetura pelagica),424299,https://www.xeno-canto.org/424299,United States,Lance A. M. Benner,Contopus cooperi_Olive-sided Flycatcher,-68.7073,Not specified,11:42,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,olsfly/XC424299.npy,66
3.0,,purfin,1 (mono),2011-08-08,Not specified,68,XC161143.mp3,Not specified,Purple Finch,Not specified,XC161143 Purple Finch (Haemorhous purpureus),[],,Haemorhous purpureus," Rocky Point Bird Observatory, Metchosin, Vancouver Island, BC",48.3197,44100 (Hz),whistled calls given while perched.,0 m,,128000 (bps),mp3,Not specified,,161143,https://www.xeno-canto.org/161143,Canada,Ian Cruickshank,Haemorhous purpureus_Purple Finch,-123.5463,Not specified,07:30,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,purfin/XC161143.npy,71
5.0,no,cangoo,2 (stereo),2009-01-04,level,22,XC52324.mp3,level,Canada Goose,1-3,XC52324 Canada Goose (Branta canadensis),[],yes,Branta canadensis," Joe Wheeler State Park, Alabama",34.81,44100 (Hz),call,75 m,About 40 birds in a large skein flying over us.,128000 (bps),mp3,level,,52324,https://www.xeno-canto.org/52324,United States,Mike Nelson,Branta canadensis_Canada Goose,-87.321,0-3(s),7:45am,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,cangoo/XC52324.npy,25
4.5,no,tuftit,2 (stereo),2019-09-17,Not specified,21,XC497611.mp3,Not specified,Tufted Titmouse,Not specified,XC497611 Tufted Titmouse (Baeolophus bicolor),['Cyanocitta cristata_Blue Jay'],yes,Baeolophus bicolor," Hawk Rise Sanctuary (near  Linden), Union County, New Jersey",40.6052,48000 (Hz),song,0 m,Tseet,204952 (bps),mp3,Not specified,Blue Jay (Cyanocitta cristata),497611,https://www.xeno-canto.org/497611,United States,William Whitehead,Baeolophus bicolor_Tufted Titmouse,-74.2495,Not specified,08:00,William Whitehead,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,tuftit/XC497611.npy,86
3.0,,canwar,1 (mono),2013-03-02,Not specified,16,XC286831.mp3,Not specified,Canada Warbler,Not specified,XC286831 Canada Warbler (Cardellina canadensis),[],,Cardellina canadensis," Sucumbíos: Río Coca, Parroquia Simón Bolívar, 1100 m",-0.114,44100 (Hz),song,1100 m,,128000 (bps),mp3,Not specified,,286831,https://www.xeno-canto.org/286831,Ecuador,Patricio Mena Valenzuela,Cardellina canadensis_Canada Warbler,-77.442,Not specified,?,Patricio Mena Valenzuela,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,canwar/XC286831.npy,26
3.0,yes,eawpew,2 (stereo),2015-05-20,Not specified,23,XC244383.mp3,Not specified,Eastern Wood Pewee,Not specified,XC244383 Eastern Wood Pewee (Contopus virens),[],no,Contopus virens, Lexington National Cemetery,38.0606,44100 (Hz),call,280 m,"Noise reduction
The call on the recording might be a sort of a ""migration"" call of Eastern Wood-Pewee.",128000 (bps),mp3,Not specified,,244383,https://www.xeno-canto.org/244383,United States,Antonio Xeira,Contopus virens_Eastern Wood-Pewee,-84.5093,0-3(s),08:00,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,eawpew/XC244383.npy,38
3.0,yes,brdowl,2 (stereo),2014-12-28,Not specified,30,XC208363.mp3,Not specified,Barred Owl,Not specified,XC208363 Barred Owl (Strix varia),[],no,Strix varia," Havelock-Belmont-Methuen (near  Harcourt), Peterborough County, Ontario",44.7403,44100 (Hz),song,320 m,Single hoot repeated over and over at 12 second intervals. Responded to playback of Saw-Whet Owl on Christmas Bird Count....not sure why I was playing that Owl as it is likely too far North for that species. Barred Owl didn't respond to Barred Owl call when played. Heavily amplified and noisy.,128000 (bps),mp3,Not specified,,208363,https://www.xeno-canto.org/208363,Canada,Iain,Strix varia_Barred Owl,-77.9416,Not specified,6:15,Iain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brdowl/XC208363.npy,16
3.0,no,rocpig,2 (stereo),2017-03-12,Not specified,66,XC360364.mp3,Not specified,Rock Dove,Not specified,XC360364 Rock Dove (Columba livia),[],no,Columba livia," Imperial Playa Hotel, Dahkla",23.7076,44100 (Hz),song,10 m,Background noise from televisions in the hotel.,128000 (bps),mp3,Not specified,,360364,https://www.xeno-canto.org/360364,Morocco,Guy Kirwan,Columba livia_Rock Pigeon,-15.9238,Not specified,07:30,Guy Kirwan,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rocpig/XC360364.npy,78
3.0,no,caster1,2 (stereo),2014-01-21,Not specified,14,XC169792.mp3,Not specified,Caspian Tern,Not specified,XC169792 Caspian Tern (Hydroprogne caspia),[],yes,Hydroprogne caspia," Kalamb beach,Nala Sopara, Thane, Maharashtra",19.4034,48000 (Hz),"call, flight call",0 m,Three birds were chasing each other,256000 (bps),mp3,Not specified,,169792,https://www.xeno-canto.org/169792,India,pradnyavant mane,Hydroprogne caspia_Caspian Tern,72.7627,Not specified,12:30,pradnyavant mane,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,caster1/XC169792.npy,29
4.0,no,winwre3,1 (mono),2017-01-06,Not specified,70,XC383677.mp3,Not specified,Winter Wren,Not specified,XC383677 Winter Wren (Troglodytes hiemalis),[],yes,Troglodytes hiemalis," I-24 Welcome Center, Marion County, Tennessee",35.0267,44100 (Hz),"call, song",200 m,"Recorded with iPhone SE. Amplification, noise reduction, and high pass filter used in Audacity.",140711 (bps),mp3,Not specified,,383677,https://www.xeno-canto.org/383677,United States,Eric Hough,Troglodytes hiemalis_Winter Wren,-85.5583,Not specified,13:00,Eric Hough,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,winwre3/XC383677.npy,96
3.0,no,caster1,1 (mono),2015-07-27,Not specified,48,XC270527.mp3,Not specified,Caspian Tern,Not specified,XC270527 Caspian Tern (Hydroprogne caspia),[],yes,Hydroprogne caspia," Bolinas Lagoon, Marin County, California",37.9213,44100 (Hz),call,0 m,A whole flock of 20+ birds flying around the lagoon about 50-100 ft from me.,96000 (bps),mp3,Not specified,,270527,https://www.xeno-canto.org/270527,United States,Bobby Wilcox,Hydroprogne caspia_Caspian Tern,-122.688,Not specified,18:30,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,caster1/XC270527.npy,29
3.0,no,purfin,1 (mono),2011-12-18,Not specified,117,XC161422.mp3,Not specified,Purple Finch,Not specified,XC161422 Purple Finch (Haemorhous purpureus),[],yes,Haemorhous purpureus," Coles Bay, Vancouver Island, British Columbia",48.6314,44100 (Hz),call,10 m,"Whistled calls followed by ""pik"" calls later in the track.",128000 (bps),mp3,Not specified,,161422,https://www.xeno-canto.org/161422,Canada,Ian Cruickshank,Haemorhous purpureus_Purple Finch,-123.4635,Not specified,11:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,purfin/XC161422.npy,71
3.0,,purfin,1 (mono),2010-05-26,Not specified,56,XC157427.mp3,Not specified,Purple Finch,Not specified,XC157427 Purple Finch (Haemorhous purpureus),[],,Haemorhous purpureus," Humboldt, Saskatchewan",52.2,44100 (Hz),song,550 m,,128000 (bps),mp3,Not specified,,157427,https://www.xeno-canto.org/157427,Canada,Ian Cruickshank,Haemorhous purpureus_Purple Finch,-105.12,Not specified,09:00,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,purfin/XC157427.npy,71
3.0,no,louwat,2 (stereo),2013-08-27,Not specified,66,XC147751.mp3,level,Louisiana Waterthrush,Not specified,XC147751 Louisiana Waterthrush (Parkesia motacilla),[],yes,Parkesia motacilla," Parque Nacional Montecristo,Metapan, Santa Ana, El Salvador",14.3664,48000 (Hz),song,875 m,Observed in the San Jose River,160000 (bps),mp3,level,,147751,https://www.xeno-canto.org/147751,El Salvador,Jeniffer Abrego,Parkesia motacilla_Louisiana Waterthrush,-89.3945,Not specified,16:53,Jeniffer Abrego,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,louwat/XC147751.npy,56
5.0,no,blujay,2 (stereo),2015-09-27,both,66,XC282989.mp3,level,Blue Jay,1-3,XC282989 Blue Jay (Cyanocitta cristata),[],no,Cyanocitta cristata," Brinton Brook Sanctuary, Croton, New York",Not specified,44100 (Hz),call,? m,Slightly odd.,128000 (bps),mp3,level,,282989,https://www.xeno-canto.org/282989,United States,Daniel Parker,Cyanocitta cristata_Blue Jay,Not specified,0-3(s),11:00,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,blujay/XC282989.npy,15
5.0,no,bkcchi,1 (mono),2014-06-25,Not specified,17,XC206090.mp3,Not specified,Black-capped Chickadee,Not specified,XC206090 Black-capped Chickadee (Poecile atricapillus),[],yes,Poecile atricapillus," Nature Conservancy South Fork Preserve, San Miguel County, Colorado",37.8951,48000 (Hz),song,2500 m,"Natural song (5 strophes), given from tall willow grove near boardwalk and observation platform.",128000 (bps),mp3,Not specified,,206090,https://www.xeno-canto.org/206090,United States,Eric DeFonso,Poecile atricapillus_Black-capped Chickadee,-107.9069,Not specified,09:20,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,bkcchi/XC206090.npy,10
3.0,no,yebfly,1 (mono),2015-08-22,decreasing,35,XC270084.mp3,level,Yellow-bellied Flycatcher,1-3,XC270084 Yellow-bellied Flycatcher (Empidonax flaviventris),[],yes,Empidonax flaviventris," Kinbrook Island Provincial Park, Alberta",50.448,16000 (Hz),call,750 m,"Park is a developed island with parking lots, beach areas, campgrounds and cottages. There are large lawn areas with ornamental trees and shrubs.  Flycatcher was initially making *puwee* call and switched to the shorter  *pyu* call prior to the start of recording.

Recorded with smartphone (Moto G).

eBird checklist: <https://ebird.org/ebird/view/checklist?subID=S24741929>",128000 (bps),mp3,decreasing,,270084,https://www.xeno-canto.org/270084,Canada,Michael Harrison,Empidonax flaviventris_Yellow-bellied Flycatcher,-111.9111,0-3(s),16:30,Michael Harrison,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,yebfly/XC270084.npy,98
4.0,yes,rebnut,2 (stereo),2016-01-27,Not specified,20,XC301613.mp3,Not specified,Red-breasted Nuthatch,Not specified,XC301613 Red-breasted Nuthatch (Sitta canadensis),[],yes,Sitta canadensis," Orion Public Library, Oakland County, Michigan",42.7712,44100 (Hz),call,300 m,"After playback, 2 birds answered with presence and this call",192000 (bps),mp3,Not specified,,301613,https://www.xeno-canto.org/301613,United States,Antonio Xeira,Sitta canadensis_Red-breasted Nuthatch,-83.2814,Not specified,12:30,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rebnut/XC301613.npy,72
3.0,yes,brdowl,2 (stereo),2016-04-03,Not specified,35,XC310199.mp3,Not specified,Barred Owl,Not specified,XC310199 Barred Owl (Strix varia),[],yes,Strix varia, Ivy Creek Natural Area,38.0915,44100 (Hz),call,150 m,daytime response to imitation of call,128000 (bps),mp3,Not specified,,310199,https://www.xeno-canto.org/310199,United States,Ross Gallardy,Strix varia_Barred Owl,-78.4939,Not specified,08:30,Ross Gallardy,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brdowl/XC310199.npy,16
3.0,,brdowl,1 (mono),2016-09-03,Not specified,163,XC333161.mp3,Not specified,Barred Owl,Not specified,XC333161 Barred Owl (Strix varia),[],,Strix varia," Skidaway Island, Chatham County, GA USA",31.9237,48000 (Hz),call,4 m,"The owl was sitting fairly well hidden in a Live Oak tree in a small grove nest to a gold\f course.  This is likely a resident in this neighborhood, one that attempted to nest nearby b this location.  It is regularly heard in a n are about 500 meters in diameter.  The recording is untouched; the cadence of vocalizations is intact.  The recording was made with a Sound Devices 722 and a Sennheiser ME66 in a Rode Blimp.

playback-used:no",128000 (bps),mp3,Not specified,,333161,https://www.xeno-canto.org/333161,United States,Russ Wigh,Strix varia_Barred Owl,-81.0559,Not specified,18:00,Russ Wigh,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brdowl/XC333161.npy,16
4.5,no,rebnut,2 (stereo),2017-06-17,Not specified,43,XC381892.mp3,Not specified,Red-breasted Nuthatch,Not specified,XC381892 Red-breasted Nuthatch (Sitta canadensis),"['Setophaga striata_Blackpoll Warbler', 'Setophaga virens_Black-throated Green Warbler', 'Zonotrichia albicollis_White-throated Sparrow', ""Catharus ustulatus_Swainson's Thrush""]",no,Sitta canadensis," Jefferson Notch, Coos Co., New Hampshire",44.2967,48000 (Hz),call,900 m,"Recorded late in the day in a boreal forest at the edge of a car park.  

Recorded with a Sony PCM-M10 recorder and a Sennheiser ME67 microphone.
Edits to the file: trimmed and normalized to -3 dB.",128000 (bps),mp3,Not specified,Blackpoll Warbler (Setophaga striata); Black-throated Green Warbler (Setophaga virens); White-throated Sparrow (Zonotrichia albicollis); Swainson's Thrush (Catharus ustulatus),381892,https://www.xeno-canto.org/381892,United States,Lance A. M. Benner,Sitta canadensis_Red-breasted Nuthatch,-71.3537,Not specified,19:08,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rebnut/XC381892.npy,72
5.0,no,mallar3,2 (stereo),2018-03-11,level,96,XC405594.mp3,level,Mallard,1-3,XC405594 Mallard (Anas platyrhynchos),[],yes,Anas platyrhynchos," Karlsruhe (near  Stutensee), Karlsruhe, Baden-Württemberg",49.0671,44100 (Hz),"call, female",110 m,"Rufe der Weibchen, eine Gruppe von Stockenten auf dem Wasser.",320000 (bps),mp3,level,,405594,https://www.xeno-canto.org/405594,Germany,brickegickel,Anas platyrhynchos_Mallard,8.4324,0-3(s),09:30,brickegickel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,mallar3/XC405594.npy,59
4.5,no,bkcchi,2 (stereo),2015-02-13,Not specified,57,XC289009.mp3,Not specified,Black-capped Chickadee,Not specified,XC289009 Black-capped Chickadee (Poecile atricapillus),"[""Thryomanes bewickii_Bewick's Wren"", ""Cyanocitta stelleri_Steller's Jay"", 'Turdus migratorius_American Robin', 'Colaptes auratus_Northern Flicker']",yes,Poecile atricapillus," Marymoor Park, King County, Washington",47.6551,22050 (Hz),call,10 m,Pair investigating a nest cavity alongside a stream that enters the lake. Cavity within 10 feet of water and about 15 feet up. Quiet calls given as they investigated the cavity. High Pass filter ran and amplified. Recordist error had the settings wrong and cut off the highest frequencies.,128000 (bps),mp3,Not specified,Bewick's Wren (Thryomanes bewickii); Steller's Jay (Cyanocitta stelleri); American Robin (Turdus migratorius); Northern Flicker (Colaptes auratus),289009,https://www.xeno-canto.org/289009,United States,David Vander Pluym,Poecile atricapillus_Black-capped Chickadee,-122.112,Not specified,11:05,David Vander Pluym,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,bkcchi/XC289009.npy,10
3.0,yes,purfin,1 (mono),2017-05-04,Not specified,46,XC367693.mp3,Not specified,Purple Finch,Not specified,XC367693 Purple Finch (Haemorhous purpureus),[],yes,Haemorhous purpureus," Williams Lake Airport, Cariboo, British Columbia",52.1881,44100 (Hz),song,950 m,Recorded on iPhone 5s using Voice Record Pro and Rode VideoMic Me.,128000 (bps),mp3,Not specified,,367693,https://www.xeno-canto.org/367693,Canada,Phil Ranson,Haemorhous purpureus_Purple Finch,-122.0705,Not specified,12:14,Phil Ranson,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,purfin/XC367693.npy,71
2.5,no,moudov,1 (mono),2015-05-17,level,58,XC268202.mp3,decelerating,Mourning Dove,4-6,XC268202 Mourning Dove (Zenaida macroura),"['Icteria virens_Yellow-breasted Chat', 'Molothrus ater_Brown-headed Cowbird', ""Vireo bellii_Bell's Vireo"", 'Columbina passerina_Common Ground Dove', ""Leiothlypis luciae_Lucy's Warbler"", ""Callipepla gambelii_Gambel's Quail""]",yes,Zenaida macroura," San Bernardino National Wildlife Refuge, Cochise County, Arizona",31.34,44100 (Hz),song,1100 m,,128000 (bps),mp3,level,Yellow-breasted Chat (Icteria virens); Brown-headed Cowbird (Molothrus ater); Bell's Vireo (Vireo bellii); Common Ground Dove (Columbina passerina); American Yellow Warbler (Setophaga aestiva); Lucy's Warbler (Leiothlypis luciae); Gambel's Quail (Callipepla gambelii),268202,https://www.xeno-canto.org/268202,United States,Richard E. Webster,Zenaida macroura_Mourning Dove,-109.273,0-3(s),07:24,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,moudov/XC268202.npy,62
3.0,,hamfly,1 (mono),2010-09-06,both,27,XC123914.mp3,level,Hammond's Flycatcher,1-3,XC123914 Hammond's Flycatcher (Empidonax hammondii),[],,Empidonax hammondii," Crest Trail, Chiricahua Mountains",31.877,44100 (Hz),call,2700 m,"calls of migrant;

playback-used:no",128000 (bps),mp3,level,,123914,https://www.xeno-canto.org/123914,United States,Richard E. Webster,Empidonax hammondii_Hammond's Flycatcher,-109.287,0-3(s),09:48,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,hamfly/XC123914.npy,44
3.0,yes,brdowl,1 (mono),2015-06-05,Not specified,27,XC252396.mp3,Not specified,Barred Owl,Not specified,XC252396 Barred Owl (Strix varia),[],no,Strix varia," Ithaca, Tompkins County, New York",42.4756,44100 (Hz),song,320 m,"Barred Owl, fortuitously located on Sapsucker Woods Road, near the Cornell Lab of Ornithology.  Bird came in to repeated hoots by one of our party.",128000 (bps),mp3,Not specified,,252396,https://www.xeno-canto.org/252396,United States,Tim Spahr,Strix varia_Barred Owl,-76.4504,Not specified,21:30,Tim Spahr,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brdowl/XC252396.npy,16
1.0,no,evegro,2 (stereo),2014-11-20,Not specified,31,XC282437.mp3,Not specified,Evening Grosbeak,Not specified,XC282437 Evening Grosbeak (Hesperiphona vespertina),[],yes,Hesperiphona vespertina," Mormon Lake, Coconino County, Arizona",34.9437,22050 (Hz),call,2200 m,High pass filter ran and amplified. Small flock (13 individuals) calling and feeding along a stream with riparian and nearby conifers. XC282435 and XC282436 is of the same flock (this is the last recording of that series) and XC282433 and XC282434 of a Dark-eyed Junco are all also a part of this clip.,128000 (bps),mp3,Not specified,,282437,https://www.xeno-canto.org/282437,United States,David Vander Pluym,Coccothraustes vespertinus_Evening Grosbeak,-111.4899,Not specified,10:15,David Vander Pluym,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC282437.npy,39
3.0,no,fiespa,1 (mono),2015-08-28,Not specified,114,XC277218.mp3,Not specified,Field Sparrow,Not specified,XC277218 Field Sparrow (Spizella pusilla),[],yes,Spizella pusilla," Tama (near  Burlington), Des Moines, Iowa",40.8918,44100 (Hz),song,220 m,About 10ft from me in a dense hedgerow.,96000 (bps),mp3,Not specified,,277218,https://www.xeno-canto.org/277218,United States,Bobby Wilcox,Spizella pusilla_Field Sparrow,-91.0756,Not specified,09:30,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,fiespa/XC277218.npy,40
2.0,no,evegro,1 (mono),2015-12-28,Not specified,16,XC297473.mp3,Not specified,Evening Grosbeak,Not specified,XC297473 Evening Grosbeak (Hesperiphona vespertina),[],yes,Hesperiphona vespertina," Hoopa, Humboldt County, California",41.0488,44100 (Hz),call,110 m,This recording documents 8 calls of an undetermined age female Evening Grosbeak. Spectral analysis of this birds vocalizations indicate that it is of the type 1 group.,128000 (bps),mp3,Not specified,,297473,https://www.xeno-canto.org/297473,United States,Elias Aristides Elias,Coccothraustes vespertinus_Evening Grosbeak,-123.6789,Not specified,12:15,Elias Aristides Elias,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC297473.npy,39
4.5,no,bkcchi,1 (mono),2015-10-07,Not specified,110,XC284487.mp3,Not specified,Black-capped Chickadee,Not specified,XC284487 Black-capped Chickadee (Poecile atricapillus),['Poecile hudsonicus_Boreal Chickadee'],yes,Poecile atricapillus," Hilltop Park, Anchorage, Alaska",61.1419,44100 (Hz),"alarm call, call",150 m,Vocalizations in response to pishing from a group of 11+ individuals at edge of small clearing amid subalpine spruce/birch woodland. On-mic individuals were very close to me and within 2m of ground in small birch at clearing edge. Light rain.,80000 (bps),mp3,Not specified,Boreal Chickadee (Poecile hudsonicus),284487,https://www.xeno-canto.org/284487,United States,Dan Lane,Poecile atricapillus_Black-capped Chickadee,-149.7501,Not specified,12:30,Dan Lane,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,bkcchi/XC284487.npy,10
2.5,no,rocpig,2 (stereo),2019-05-20,Not specified,17,XC475650.mp3,Not specified,Rock Dove,Not specified,XC475650 Rock Dove (Columba livia),['Passer domesticus_House Sparrow'],yes,Columba livia," Virkie, Shetland Islands, Scotland",59.8864,44100 (Hz),call,30 m,Birds calling from barn roof; House Sparrows in foreground.,192000 (bps),mp3,Not specified,House Sparrow (Passer domesticus),475650,https://www.xeno-canto.org/475650,United Kingdom,Andrew Harrop,Columba livia_Rock Pigeon,-1.3081,Not specified,06:15,Andrew Harrop,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rocpig/XC475650.npy,78
3.0,no,hamfly,1 (mono),2014-06-28,level,133,XC196044.mp3,level,Hammond's Flycatcher,1-3,XC196044 Hammond's Flycatcher (Empidonax hammondii),[],no,Empidonax hammondii," Yard Creek Provincial Park, W of Revelstoke, British Columbia",50.8994,44100 (Hz),"call, whee-zee call",400 m,"calling from the canopy, ID presumed; one whee-zee call (sensu Sedgwick in BNA) at 1:16.5, another one 10 seconds later, again 1:42",128000 (bps),mp3,level,,196044,https://www.xeno-canto.org/196044,Canada,Richard E. Webster,Empidonax hammondii_Hammond's Flycatcher,-118.8138,0-3(s),19:59,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,hamfly/XC196044.npy,44
4.0,no,eawpew,1 (mono),2017-09-17,Not specified,25,XC453803.mp3,Not specified,Eastern Wood Pewee,Not specified,XC453803 Eastern Wood Pewee (Contopus virens),[],yes,Contopus virens, Provincia de Puntarenas,10.1471,44100 (Hz),call,240 m,,128000 (bps),mp3,Not specified,,453803,https://www.xeno-canto.org/453803,Costa Rica,Will Sweet,Contopus virens_Eastern Wood-Pewee,-84.8522,Not specified,07:00,Will Sweet,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,eawpew/XC453803.npy,38
3.0,,hamfly,1 (mono),2010-09-17,both,56,XC123913.mp3,level,Hammond's Flycatcher,1-3,XC123913 Hammond's Flycatcher (Empidonax hammondii),[],,Empidonax hammondii," Crest Trail, Chiricahua Mountains",31.877,44100 (Hz),call,2600 m,"calls of migrant;

playback-used:no",128000 (bps),mp3,level,,123913,https://www.xeno-canto.org/123913,United States,Richard E. Webster,Empidonax hammondii_Hammond's Flycatcher,-109.287,0-3(s),08:50,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,hamfly/XC123913.npy,44
4.5,no,aldfly,2 (stereo),2019-06-07,Not specified,43,XC479502.mp3,Not specified,Alder Flycatcher,Not specified,XC479502 Alder Flycatcher (Empidonax alnorum),"['Baeolophus bicolor_Tufted Titmouse', 'Haemorhous purpureus_Purple Finch']",no,Empidonax alnorum," Caroline (near  Brooktondale), Tompkins County, New York",42.3306,44100 (Hz),song,460 m,,192000 (bps),mp3,Not specified,Tufted Titmouse (Baeolophus bicolor); Purple Finch (Haemorhous purpureus),479502,https://www.xeno-canto.org/479502,United States,Meena Haribal,Empidonax alnorum_Alder Flycatcher,-76.3351,Not specified,09:30,Meena Haribal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,aldfly/XC479502.npy,0
5.0,no,redcro,2 (stereo),2012-08-17,Not specified,18,XC186562.mp3,Not specified,Red Crossbill,1-3,XC186562 Red Crossbill (Loxia curvirostra),[],yes,Loxia curvirostra," Inyo National Forest, Inyo County, California",37.3798,48000 (Hz),call,3000 m,A mixed-type flock of Red Crossbills composed of types 2 and 5 flying over Great Basin Bristlecone Pine forest.,159549 (bps),mp3,level,,186562,https://www.xeno-canto.org/186562,United States,Alex Rinkert,Loxia curvirostra_Red Crossbill,-118.1674,0-3(s),15:30,Alex Rinkert,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,redcro/XC186562.npy,74
